rank,name,symbol,cryptocompkey
1,Bitcoin,BTC,1182
2,Ethereum,ETH,7605
3,Ripple,XRP,5031
4,Bitcoin Cash,BCH,202330
5,Cardano,ADA,321992
6,Stellar,XLM,4614
7,Litecoin,LTC,3808
8,NEO,NEO,27368
9,EOS,EOS,166503
10,NEM,XEM,5285
11,IOTA,IOT,127356
12,Dash,DASH,3807
13,Monero,XMR,5038
14,TRON,TRX,310829
15,ICON,ICX,324068
16,Ethereum Classic,ETC,5324
17,Bitcoin Gold,BTG,347235
18,Qtum,QTUM,112392
19,VeChain,VEN,236131
20,Lisk,LSK,19745
21,RaiBlocks,XRB,172091
22,Populous,PPT,179896
23,Tether,USDT,171986
24,OmiseGO,OMG,187440
25,Steem,STEEM,20333
26,Zcash,ZEC,24854
27,Stratis,STRAT,24294
28,Siacoin,SC,13072
29,BitShares,BTS,5039
30,Bytecoin,BCN,5280
31,Verge,XVG,4433
32,Binance Coin,BNB,204788
33,Status,SNT,137013
34,0x,ZRX,186277
35,Ardor,ARDR,30173
36,KuCoin Shares,KCS,348628
37,Waves,WAVES,20131
38,Augur,REP,17778
39,Maker,MKR,41192
40,Walton,WTC,299397
41,Veritaseum,VERI,136211
42,Dogecoin,DOGE,4432
43,RChain,RHOC,434666
44,Komodo,KMD,26132
45,Aeternity,AE,190978
46,Hshare,HSR,318199
47,Dragonchain,DRGN,355702
48,Ark,ARK,32699
49,Basic Attenti...,BAT,107672
50,Electroneum,ETN,361881
51,DigiByte,DGB,4430
52,Loopring,LRC,318169
53,Decred,DCR,16713
54,PIVX,PIVX,42433
55,IOStoken,IOST,716522
56,Dentacoin,DCN,218906
57,QASH,QASH,402714
58,aelf,ELF,571314
59,Kyber Network,KNC,310497
60,ZClassic,ZCL,32544
61,Golem,GNT,33022
62,Gas,GAS,213532
63,DigixDAO,DGD,18907
64,Byteball Bytes,GBYTE,30736
65,FunFair,FUN,178978
66,Aion,AION,431235
67,Nebulas,NAS,619555
69,Cryptonex,CNX,289715
70,Factom,FCT,13280
71,SALT,SALT,314580
72,Ethos,BQX,141464
73,Power Ledger,POWR,339617
74,SmartCash,SMART,199901
75,Cindicator,CND,338070
76,Syscoin,SYS,4618
77,Dent,DENT,141331
78,Nexus,NXS,6103
79,MonaCoin,MONA,5296
80,ReddCoin,RDD,4592
81,Enigma,ENG,338335
82,Nxt,NXT,1183
83,GXShares,GXS,659770
84,Bancor,BNT,22327
85,WAX,WAX,338541
86,ZCoin,XZC,30022
87,MaidSafeCoin,MAID,5293
88,Request Network,REQ,335059
89,Kin,KIN,177918
90,Bitcore,BTX,198983
91,Particl,PART,191116
92,TenX,PAY,45260
93,MediBloc,MED,4560
94,Pillar,PLR,184298
95,Iconomi,ICN,25921
96,ChainLink,LINK,309621
97,GameCredits,GAME,20157
98,Neblio,NEBL,222085
99,Gnosis,GNO,66193
100,Quantstamp,QSP,397757
101,Raiden Networ...,RDN,6098
102,SIRIN LABS Token,SRN,380641
103,DigitalNote,XDN,5282
104,Civic,CVC,139467
105,Substratum,SUB,221463
106,Storm,STORM,186875
107,Emercoin,EMC,15876
108,Experience Po...,XP,318154
110,Ubiq,UBQ,43044
111,Storj,STORJ,187347
112,iExec RLC,RLC,61877
113,Po.et,POE,188811
114,SophiaTX,SPHTX,379248
115,Time New Bank,TNB,517483
116,BitcoinDark,BTCD,4400
117,Enjin Coin,ENJ,283116
118,Blocknet,BLOCK,5305
119,Vertcoin,VTC,5018
121,Skycoin,SKY,136269
122,AirSwap,AST,337162
124,PayPie,PPP,327500
126,High Performa...,HPB,675053
127,Santiment Net...,SAN,177863
128,PACcoin,PAC,44003
129,NAV Coin,NAV,4571
130,Aragon,ANT,78152
131,Achain,ACT,177157
132,BLOCKv,VEE,306482
133,Monaco,MCO,166548
134,ETHLend,LEND,418778
135,SingularDTV,SNGLS,24926
136,VIBE,VIBE,336538
137,Cobinhood,COB,234811
138,Ripio Credit ...,RCN,307219
139,Theta Token,THETA,714811
140,Ambrosus,AMB,238733
141,Red Pulse,RPX,341267
142,Counterparty,XCP,5292
143,DeepBrain Chain,DBC,586088
144,Simple Token,OST,369132
145,Telcoin,TEL,683827
146,Decentraland,MANA,199148
147,Revain,R,345420
148,ZenCash,ZEN,116180
149,CyberMiles,CMT,22354
150,Asch,XAS,218107
151,IoT Chain,ITC,597629
152,Einsteinium,EMC2,4440
153,Dynamic Tradi...,DTR,360063
154,BitBay,BAY,5300
155,AppCoins,APPC,346812
156,HTMLCOIN,HTML,598428
157,SONM,SNM,136244
158,INS Ecosystem,INS,370973
159,Peercoin,PPC,2349
160,Agoras Tokens,AGRS,191142
161,WaBi,WABI,340940
162,Modum,MOD,345510
163,XTRABYTES,XBY,66694
164,Trinity Netwo...,TNC,711252
165,Unikoin Gold,UKG,371005
166,AdEx,ADX,170452
167,Nuls,NULS,377792
168,Metaverse ETP,ETP,328639
169,Edgeless,EDG,55676
170,Quantum Resis...,QRL,127667
171,Internet Node...,INT,692839
172,Tierion,TNT,186309
173,Centra,CTR,225277
174,SpankChain,SPANK,411496
175,Melon,MLN,45253
176,Streamr DATAcoin,DATA,369151
177,Viacoin,VIA,5015
178,ION,ION,20591
179,UTRUST,UTK,236358
180,adToken,ADT,188858
181,LBRY Credits,LBC,23432
182,Etherparty,FUEL,292748
183,Lunyr,LUN,67447
184,CoinDash,CDT,177139
185,MediShares,MDS,667050
186,Metal,MTL,179164
187,district0x,DNT,177175
188,Gulden,NLG,5315
189,Cappasity,CAPP,306304
190,Wings,WINGS,25946
191,Electra,ECA,409249
192,Viberate,VIB,198710
193,Rise,RISE,22015
194,Bread,BRD,543502
195,DECENT,DCT,25721
196,Genesis Vision,GVT,385952
197,Burst,BURST,5286
198,FirstBlood,1ST,28328
199,QLINK,QLC,637681
201,CloakCoin,CLOAK,4417
202,Triggers,TRIG,27996
204,Decision Token,HST,374246
205,Eidoo,EDO,310297
206,MobileGo,MGO,55650
207,TokenCard,TKN,71077
208,Grid+,GRID,385907
209,NAGA,NGC,466339
210,Voxels,VOX,18180
211,Groestlcoin,GRS,13070
212,BitDegree,BDG,423754
213,Wagerr,WGR,178467
214,Shift,SHIFT,38307
215,Oyster,PRL,429355
216,Gifto,GTO,517477
217,Aeon,AEON,20730
218,SaluS,SLS,20681
219,Lykke,LKK,130939
220,I/O Coin,IOC,4540
221,Mercury,MER,61138
222,ECC,ECC,685098
223,Monetha,MTH,208914
224,COSS,COSS,186335
226,HempCoin,THC,29924
227,Selfkey,KEY,360299
228,Hive,HVN,179329
229,Cofound.it,CFI,136984
230,Ink,INK,674918
231,MinexCoin,MNX,389849
232,Pura,PURA,374031
233,WeTrust,TRST,37040
234,Everex,EVX,194883
235,Spectrecoin,XSPEC,42598
236,Nimiq,NET,4574
237,TaaS,TAAS,66270
238,Agrello,DLT,220204
239,Blocktix,TIX,175671
241,LAToken,LA,184163
242,Datum,DAT,335505
243,YOYOW,YOYOW,322002
244,bitCNY,BITCNY,28019
245,Mooncoin,MOON,4346
246,Crown,CRW,7586
247,iXledger,IXT,141171
250,Lamden,TAU,405291
251,Trade Token,TIO,372812
252,Namecoin,NMC,4580
253,Safe Exchange...,SAFEX,20594
254,Feathercoin,FTC,4524
255,Bloom,BLT,638634
256,Dimecoin,DIME,21365
258,Jinn,JINN,675359
259,Humaniq,HMQ,72438
260,Worldcore,WRC,296844
261,Propy,PRO,185695
262,VeriCoin,VRC,5017
263,Presearch,PRE,30024
264,Steem Dollars,SBD,23728
265,Diamond,DMD,4431
267,PotCoin,POT,4587
268,SIBCoin,SIB,20745
269,Pepe Cash,PEPECASH,42663
270,EncrypGen,DNA,180804
271,Mothership,MSP,198408
272,Zeusshield,ZSC,341328
273,Elastic,XEL,178861
274,SHIELD,XSH,419814
275,HelloGold,HGT,234508
276,Synereo,AMP,18244
277,Pascal Coin,PASC,40811
278,WhiteCoin,XWC,20338
279,Neumark,NEU,372377
280,Flash,FLASH,326222
281,BlockMason Cr,BCPT,374281
282,Matchpool,GUP,67096
283,DomRaider,DRT,311829
284,CanYaCoin,CAN,327632
285,FairCoin,FAIR,5313
286,NoLimitCoin,NLC2,195018
287,Game.com,GTC,667239
288,BlackCoin,BLK,4339
289,Snovio,SNOV,311853
290,Peerplays,PPY,29348
291,Aeron,ARN,335127
292,Bodhi,BOT,660947
293,Moeda Loyalty...,MDA,341279
294,Open Trading ...,OTN,370726
295,Expanse,EXP,12194
296,Maecenas,ART,311558
297,GridCoin,GRC,5309
298,PoSW Coin,POSW,35030
299,Stox,STX,204716
300,Numeraire,NMR,166594
301,Covesting,COV,338426
302,SolarCoin,SLR,5349
303,Radium,RADS,15870
304,MonetaryUnit,MUE,22325
305,SunContract,SNC,179926
306,NVO,NVST,178885
307,NuShares,NSR,5295
308,DeepOnion,ONION,198967
309,Golos,GOLOS,40806
310,Bounty0x,BNTY,543363
311,Playkey,PKT,344086
312,Swarm City,SWT,50741
313,Ormeus Coin,ORME,301112
314,Voise,VOISE,188352
315,Phore,PHR,77337
316,OAX,OAX,180013
317,OKCash,OK,17857
318,Blockport,BPT,715749
319,Omni,OMNI,22441
320,NeosCoin,NEOS,5370
321,GET Protocol,GET,597181
322,Credo,CREDO,382450
323,Myriad,XMY,4345
324,Aurora DAO,AURA,708404
325,Nexium,NXC,35678
326,BitDice,CSNO,202714
327,Blackmoon,BMC,304184
328,Rivetz,RVT,176280
329,Primas,PST,255777
330,Boolberry,BBR,5343
331,Target Coin,TGT,472769
332,ALIS,ALIS,331603
333,Hush,HUSH,33460
334,Gambit,GAM,6102
335,Bean Cash,BITB,4338
336,HEAT,HEAT,25917
337,Paragon,PRG,225764
338,LEOcoin,LEO,33001
339,LIFE,LIFE,381189
340,Divi,DIVX,431413
341,AirToken,AIR,338555
342,Rubycoin,RBY,5316
343,NewYorkCoin,NYC,247232
344,Hedge,HDG,237407
345,MyBit Token,MYB,179345
346,Zoin,ZOI,53178
347,Patientory,PTOY,129035
348,Databits,DTB,55540
349,KickCoin,KICK,202849
350,BitSend,BSD,22329
351,BCAP,BCAP,72955
352,Unobtanium,UNO,4630
354,Bismuth,BIS,322963
355,ColossusCoinXT,COLX,20903
356,LUXCoin,LUX,351720
357,Waves Communi...,WCT,43042
358,Oxycoin,OXY,242873
360,Regalcoin,REC,322013
361,FlorinCoin,FLO,5325
362,BLUE,BLUE,350048
363,ATBCoin,ATB,175618
364,Aventus,AVT,138642
365,DubaiCoin,DBIX,57481
366,Primecoin,XPM,5029
367,Pandacoin,PND,37366
368,Energycoin,ENRG,4350
369,LoMoCoin,LMC,70469
370,InvestFeed,IFT,185669
371,Soarcoin,SOAR,388145
372,LendConnect,LCT,688295
373,QunQun,QUN,716767
374,eBitcoin,EBTC,321189
375,Clams,CLAM,4416
376,Rialto,XRL,179990
377,FoldingCoin,FLDC,5348
378,Incent,INCNT,35823
379,Change,CAG,341422
380,Xenon,XNN,362769
382,Etheroll,DICE,89572
383,Aigang,AIX,187030
384,Pluton,PLU,42837
385,DecentBet,DBET,380712
386,Neutron,NTRN,5301
388,Elixir,ELIX,321177
389,Chronobank,TIME,33914
390,Circuits of V...,COVAL,28276
391,Universal Cur...,UNIT,20728
392,Linda,LINDA,196541
393,Syndicate,SYNX,27591
394,SportyFi,SPF,639943
395,Hacken,HKN,517775
396,Polybius,PLBT,171884
397,Obsidian,ODN,319075
398,bitUSD,BITUSD,28021
399,CVCoin,CVCOIN,188400
400,Musicoin,MUSIC,53950
401,Sequence,SEQ,131112
402,Mintcoin,MINT,4562
403,Pirl,PIRL,355019
404,Publica,PBL,402980
405,Bitcrystals,BCY,20315
406,Global Curren...,GCR,12217
407,Dovu,DOVU,360827
408,OBITS,OBITS,15323
409,Uquid Coin,UQC,418694
410,Solaris,XLR,61061
411,RussiaCoin,RC,37361
412,ClearPoll,POLL,319130
413,Sphere,SPHR,6111
414,PinkCoin,PINK,5374
416,Autonio,NIO,412112
417,bitqy,BQ,340125
418,ArtByte,ABY,5338
419,Monoeci,XMCC,222133
420,Xaurum,XAUR,25082
421,Internet of P...,IOP,42596
422,Quantum,QAU,170958
423,Espers,ESP,130951
424,Stealthcoin,XST,5032
425,Flixxo,FLIXX,408849
426,SmileyCoin,SMLY,8694
427,Exchange Union,XUC,184221
428,Russian Miner...,RMC,381323
429,Leverj,LEV,332804
430,Vsync,VSX,325279
431,AsiaCoin,AC,4322
432,BlockCAT,CAT,194567
434,LockChain,LOC,36988
435,Lampix,PIX,223283
436,Payfair,PFR,409155
437,Hubii Network,HBT,247391
438,TIES Network,TIE,205991
439,Astro,ASTRO,387875
440,GoByte,GBX,398705
441,Ethorse,HORSE,716736
442,Curecoin,CURE,5387
443,Verify,CRED,502301
444,B2B,B2B,517795
445,DAO.Casino,BET,4337
446,Auroracoin,AUR,4333
447,Wild Crypto,WILD,339533
448,E-Dinar Coin,EDR,27634
449,onG.social,ONG,428300
450,Vcash,XVC,5303
451,Mercury Protocol,GMT,388042
452,EarthCoin,EAC,4437
453,Memetic / Pep...,MEME,20825
454,DopeCoin,DOPE,28332
455,Sumokoin,SUMO,310812
456,AdShares,ADST,194530
457,Sprouts,SPRTS,8761
458,Breakout,BRK,20892
459,Atmos,ATMS,61902
460,Mysterium,MYST,136190
461,Bulwark,BWK,453855
462,SpreadCoin,SPR,3649
463,ALQO,ALQO,402782
464,TransferCoin,TX,13045
465,Bitmark,BTM,4403
466,VeriumReserve,VRM,28323
467,Bitdeal,BDL,374294
468,FlypMe,FYP,464920
469,Innova,INN,374211
470,Ecobit,ECOB,171390
471,MyWish,WISH,411620
472,CrowdCoin,CRC,586482
473,HEROcoin,PLAY,369251
475,PRIZM,PZM,77306
476,Social Send,SEND,449573
478,Bela,BELA,21239
479,ProCurrency,PROC,71334
480,Pesetacoin,PTC,5317
481,Polis,POLIS,653274
482,HyperStake,HYP,4537
484,Synergy,SNRG,8825
485,Creditbit,CRB,17547
486,Kore,KORE,5318
487,Bitcloud,BTDX,362846
488,FirstCoin,FRST,45258
489,Opus,OPT,197054
490,Qwark,QWARK,116425
491,BuzzCoin,BUZZ,28893
492,TrueFlip,TFL,150545
493,BitcoinZ,BTCZ,327184
494,IncaKoin,NKA,7559
495,DigiPulse,DGPT,202696
496,Blitzcash,BLITZ,15879
497,ATLANT,ATL,235213
498,ICOS,ICOS,207775
499,AudioCoin,ADC,6108
500,Dotcoin,DOT,20339
501,Novacoin,NVC,4579
502,GoldCoin,GLD,4528
503,CannabisCoin,CANN,4407
504,MicroMoney,AMM,589881
505,Bitcoin Plus,XBC,5391
506,TrezarCoin,TZC,338180
507,Upfiring,UFR,404806
509,Social,SCL,255254
510,ToaCoin,TOA,341019
511,Qvolta,QVT,205980
513,DCORP,DRP,188523
514,IntenseCoin,ITNS,522090
515,Riecoin,RIC,4352